order_id,customer_name,product,quantity,price,order_date,city
1001, Ahmed ,Laptop,1.0,15000.0,2026-01-05,Cairo
1002,Sara,Phone,2.0,8000.0,05/01/2026,Alexandria
1003,mohamed,Tablet,1.0,-5000.0,2026/01/06,Giza
1004,Laila,Laptop ,1.0,15000.0,7-1-2026,cairo
1005,Omar,Headphones,,1200.0,2026-01-08,Mansoura
1006,Nour,Phone,3.0,,08/01/2026,Alexandria
1007,Youssef,Keyboard,2.0,900.0,2026-01-09,Tanta
1008,Mona,Mouse,1.0,400.0,2026/01/09,Cairo
1009,Ali,Laptop,1.0,15000.0,2026-01-10,Giza
1010,Salma,Phone ,2.0,8000.0,10-01-2026,alexandria
1002,Sara,Phone,2.0,8000.0,05/01/2026,Alexandria
1004,Laila,Laptop ,1.0,15000.0,7-1-2026,cairo
1011, Hassan,tablet,1.0,5000.0,,Mansoura
1012,,Mouse,2.0,400.0,2026-01-12,Cairo
1013,Nada,Keyboard,0.0,900.0,2026-01-12,Tanta
1014,Karim,Phone,1.0,8500.0,2026-13-01,Cairo
